지역,이름,세부내용,아이콘,경도,위도,방문여부,충전소명,급속충전가능여부,충전소경도,충전소위도
표선/남원,공천포식당 (물회),,식당,126.6426731,33.2664055,green,도치돌,Y,126.3397112,33.41976582
표선/남원,범일분식 (막창피순대),,식당,126.7170473,33.2783758,red,어사촌도야지,N,126.3387652,33.41974997
표선/남원,[가성비] 광동식당 (흑돼지두루치기),,식당,126.7983442,33.3291212,red,경진자동차공업사,N,126.432681,33.44495845
표선/남원,[가성비] 복돼지식당 (고사리주물럭),1인 만원에 고사리 주물럭이 무한리필되는 곳이다. 음식 퀄리티도 좋다.,식당,126.8024717,33.3975008,red,더럭초등학교 주차장,Y,126.3429798,33.4527818
표선/남원,웨이브 (수제버거),외국인 사장님이 운영하는 빵부터 패티까지 수제로 만드는 찐 수제버거.,식당,126.843778,33.325555,red,남건휴먼스파스텔빌리지,N,126.4193457,33.46620676
표선/남원,하례정원 (파스타),,식당,126.6382265,33.2615382,red,제주교회,N,126.3956001,33.48015805
성산/우도,신천목장,겨울에 넓은 초원에다 귤껍질을 말리는게 아름다운 곳이었으나 이제는 펜스가 쳐서 이쁜 사진을 담을 수 없어 아쉬운 곳입니다.,관광지,126.8682182,33.3567015,green,하귀휴먼시아1단지아파트,Y,126.4165948,33.48373878
성산/우도,김영갑갤러리 두모악,,관광지,126.8542313,33.3720095,purple,바이더힐,N,126.403566,33.44434218
성산/우도,일출랜드,,관광지,126.8413634,33.3835243,red,민오름태흥누리안빌,N,126.5098828,33.48004958
성산/우도,수산한못,,포토존,126.8431911,33.4291836,red,아라행복주택,N,126.5452184,33.49020641
성산/우도,혼인지,,관광지,126.8938522,33.4151688,blue,태평양금호,N,126.5478856,33.49211313
성산/우도,섭지코지,,관광지,126.9293266,33.4235416,purple,워시존연북로점,Y,126.5530166,33.49539912
성산/우도,유민미술관,,관광지,126.9322911,33.4291682,red,다몰2차연립주택,N,126.5120029,33.48416922
성산/우도,아쿠아플라넷제주,,관광지,126.9279101,33.4327935,purple,에코그린빌9차,N,126.5059249,33.49420331
성산/우도,광치기해변,,관광지,126.9246908,33.4524144,purple,그린스페이스휴,N,126.5533261,33.50469026
성산/우도,오조포구,,관광지,126.9209444,33.4638155,purple,연동대림2차아파트,Y,126.4877296,33.47975083
성산/우도,성산일출봉,,관광지,126.9425,33.458056,green,영평하동 마을회관,Y,126.5738943,33.48630885
성산/우도,성산포항 종합여객터미널,,관광지,126.9346052,33.4728912,blue,노형리츠하임 테라스파크,N,126.4588939,33.4876236
성산/우도,서빈백사해수욕장,,관광지,126.9432712,33.5023255,blue,대한적십자 제주혈액원,Y,126.5202318,33.4911869
성산/우도,우도올레보트,,관광지,126.9446953,33.4967353,blue,노형4차아뜨리에,N,126.4623799,33.48557954
성산/우도,하고수동해수욕장,,관광지,126.9582418,33.514491,blue,제주장애인스포츠센터,Y,126.4347951,33.4866855
성산/우도,검멀레해수욕장 (보트),,관광지,126.9685468,33.4967988,blue,제주시외도일동공영주차장,Y,126.4265257,33.4857164
성산/우도,짱아저씨 (흑돼지해물탕),,식당,126.932051,33.4618301,purple,용담평화베스트빌1차,N,126.515587,33.50831349
성산/우도,고래라면 (문어라면),,식당,126.8584604,33.3719362,green,우도면 조일리사무소,Y,126.9628939,33.50981036
성산/우도,아줄레주 (에그타르트),,카페,126.8391336,33.366762,red,대원상록수10차아파트,Y,126.4314168,33.48903328
성산/우도,카페 덴드리,,카페,126.8659651,33.3692938,red,성일교회,N,126.4272498,33.48456385
성산/우도,[도민추천] 남양수산 (참돔회),,식당,126.9141693,33.4500999,red,외도부영1차아파트,Y,126.4336125,33.48761522
성산/우도,마우돈 (말고기),말들어오는날: 화/목,식당,126.9111694,33.4467859,red,노형휴스토리,N,126.4619718,33.47848405
성산/우도,맛나식당 (갈치조림),,식당,126.9159097,33.4485879,blue,부웅크리스탈빌3차,N,126.530796,33.48368641
